CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1633622763.377,2021-10-07 12:06:03.376955,-0.065,0.030,1.024,31.977,100.000,641.773,11.346,23.865,11.529,-0.079,24.403,25.674,24.513,52.363
1633622764.3781335,2021-10-07 12:06:04.377975,-0.066,0.027,1.026,31.977,100.000,641.773,11.323,23.855,11.518,0.087,24.277,25.54,24.513,52.363
1633622765.3753247,2021-10-07 12:06:05.375288,-0.062,0.031,1.020,31.977,100.000,641.773,11.819,23.824,11.513,0.17,24.592,25.874,24.551,52.363
1633622766.387052,2021-10-07 12:06:06.387003,-0.064,0.030,1.022,31.977,100.000,641.773,10.474,23.845,11.513,0.087,24.466,25.54,24.551,52.363
1633622767.392931,2021-10-07 12:06:07.392883,-0.065,0.031,1.020,31.977,100.000,641.773,9.958,23.824,11.492,0.17,24.655,25.807,24.551,52.363
1633622768.3787007,2021-10-07 12:06:08.378662,-0.059,0.031,1.023,20.966,42.040,1012.257,11.713,23.845,11.529,0.004,24.592,25.54,24.551,52.363
1633622769.3847396,2021-10-07 12:06:09.384696,-0.061,0.029,1.022,20.966,42.040,1012.257,11.051,23.814,11.498,0.17,24.718,25.807,24.628,52.363
1633622770.3794277,2021-10-07 12:06:10.379382,-0.062,0.031,1.025,20.966,42.040,1012.257,11.874,23.835,11.508,0.17,24.592,25.807,24.704,52.363
1633622771.3842957,2021-10-07 12:06:11.384239,-0.062,0.028,1.022,20.966,42.040,1012.257,11.394,23.814,11.498,0.17,24.655,25.874,24.589,52.363
1633622772.3855243,2021-10-07 12:06:12.385492,-0.063,0.030,1.021,20.966,42.040,1012.257,11.378,23.835,11.508,0.087,24.655,25.674,24.513,52.363
1633622773.388399,2021-10-07 12:06:13.388352,-0.064,0.027,1.021,20.969,41.992,1012.261,11.135,23.855,11.518,0.087,24.592,25.807,24.551,52.363
1633622774.3834412,2021-10-07 12:06:14.383398,-0.063,0.030,1.022,20.969,41.992,1012.261,11.906,23.855,11.518,0.17,24.466,25.406,24.551,52.363
1633622775.3880754,2021-10-07 12:06:15.388029,-0.062,0.029,1.025,20.969,41.992,1012.261,11.404,23.855,11.518,0.087,24.655,25.54,24.513,52.363
1633622776.3848114,2021-10-07 12:06:16.384781,-0.063,0.029,1.025,20.969,41.992,1012.261,11.977,23.814,11.487,0.17,24.718,25.874,24.704,52.363
1633622777.390603,2021-10-07 12:06:17.390561,-0.064,0.030,1.023,20.969,41.992,1012.261,11.321,23.835,11.513,0.17,24.592,25.674,24.551,52.363
