CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1633622791.2905507,2021-10-07 12:06:31.290507,-0.061,0.028,1.025,31.977,100.000,641.773,11.342,23.824,11.492,0.17,24.844,26.008,24.628,52.363
1633622792.2868624,2021-10-07 12:06:32.286838,-0.066,0.030,1.019,31.977,100.000,641.773,11.955,23.845,11.498,0.17,24.655,25.941,24.628,52.363
1633622793.2917998,2021-10-07 12:06:33.291759,-0.064,0.029,1.024,31.977,100.000,641.773,11.407,23.855,11.513,0.087,24.592,25.54,24.551,52.363
1633622794.2932153,2021-10-07 12:06:34.293169,-0.063,0.030,1.022,31.977,100.000,641.773,11.345,23.845,11.513,0.17,24.592,25.54,24.551,52.363
1633622795.2713175,2021-10-07 12:06:35.271274,-0.063,0.032,1.021,31.977,100.000,641.773,15.358,23.855,11.518,0.087,24.718,25.807,24.551,52.363
1633622796.2766428,2021-10-07 12:06:36.276600,-0.063,0.025,1.021,20.976,41.993,1012.267,14.412,23.804,11.498,0.17,24.529,25.74,24.628,52.363
1633622797.2845125,2021-10-07 12:06:37.284467,-0.064,0.028,1.021,20.976,41.993,1012.267,13.120,23.835,11.508,0.087,24.592,25.674,24.551,52.363
1633622798.267737,2021-10-07 12:06:38.267688,-0.061,0.032,1.023,20.976,41.993,1012.267,17.111,23.855,11.513,0.087,24.592,25.807,24.474,52.363
1633622799.2731774,2021-10-07 12:06:39.273134,-0.063,0.030,1.025,20.976,41.993,1012.267,15.909,23.865,11.518,0.087,24.655,25.74,24.589,52.363
1633622800.2706172,2021-10-07 12:06:40.270581,-0.063,0.027,1.023,20.976,41.993,1012.267,16.883,23.814,11.513,0.17,24.718,25.941,24.704,52.363
1633622801.2760448,2021-10-07 12:06:41.275985,-0.063,0.030,1.021,20.978,41.951,1012.269,15.721,23.845,11.513,0.17,24.655,25.807,24.551,52.363
1633622802.2727952,2021-10-07 12:06:42.272750,-0.062,0.029,1.023,20.978,41.951,1012.269,16.862,23.865,11.524,0.087,24.655,25.941,24.666,52.363
1633622803.2780783,2021-10-07 12:06:43.278040,-0.063,0.031,1.027,20.978,41.951,1012.269,15.740,23.865,11.518,0.087,24.718,25.807,24.551,52.363
1633622804.279264,2021-10-07 12:06:44.279215,-0.062,0.033,1.023,20.978,41.951,1012.269,15.719,23.855,11.518,0.087,24.718,25.874,24.589,52.363
1633622805.2830508,2021-10-07 12:06:45.283005,-0.063,0.032,1.023,20.978,41.951,1012.269,15.114,23.865,11.518,0.17,24.466,25.74,24.551,52.363
1633622806.280671,2021-10-07 12:06:46.280623,-0.064,0.031,1.021,20.983,41.903,1012.267,15.936,23.824,11.498,0.087,24.655,25.607,24.513,52.363
1633622807.2852275,2021-10-07 12:06:47.285072,-0.063,0.029,1.021,20.983,41.903,1012.267,15.116,23.804,11.492,0.17,24.529,25.674,24.551,52.363
1633622808.2832634,2021-10-07 12:06:48.283220,-0.061,0.030,1.024,20.983,41.903,1012.267,15.859,23.835,11.518,0.17,24.592,25.674,24.628,52.363
1633622809.289295,2021-10-07 12:06:49.289259,-0.064,0.030,1.021,20.983,41.903,1012.267,14.697,23.845,11.518,0.087,24.592,25.874,24.589,52.363
1633622810.374858,2021-10-07 12:06:50.374805,-0.065,0.031,1.026,20.983,41.903,1012.267,6.552,23.835,11.492,0.17,24.781,25.941,24.704,52.363
