CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1638891551.0148072,2021-12-07 10:39:11.014643,-0.090,-0.017,1.020,31.977,100.000,641.773,15.759,24.478,12.213,0.62,22.954,23.068,23.44,46.189
1638891551.9860618,2021-12-07 10:39:11.986037,-0.084,-0.018,1.025,31.977,100.000,641.773,29.687,24.456,12.207,0.62,23.143,23.269,23.555,46.189
1638891552.9910893,2021-12-07 10:39:12.991045,-0.086,-0.015,1.018,31.977,100.000,641.773,26.616,24.434,12.201,0.62,23.395,23.536,23.709,46.189
1638891553.9912274,2021-12-07 10:39:13.991178,-0.090,-0.018,1.022,31.977,100.000,641.773,27.355,24.434,12.207,0.62,23.332,23.469,23.67,46.189
1638891554.9873185,2021-12-07 10:39:14.987278,-0.088,-0.016,1.021,31.977,100.000,641.773,31.663,24.434,12.207,0.62,23.269,23.402,23.632,46.189
1638891556.0156684,2021-12-07 10:39:16.015636,-0.089,-0.012,1.024,19.504,19.863,1011.231,16.986,24.445,12.213,0.62,23.08,23.202,23.517,46.189
1638891556.992365,2021-12-07 10:39:16.992324,-0.088,-0.015,1.023,19.504,19.863,1011.231,29.013,24.456,12.213,0.62,22.954,23.068,23.44,46.189
1638891558.0115802,2021-12-07 10:39:18.011533,-0.086,-0.018,1.020,19.504,19.863,1011.231,19.012,24.456,12.218,0.62,22.891,23.002,23.402,46.189
1638891558.9968543,2021-12-07 10:39:18.996812,-0.103,-0.022,1.027,19.504,19.863,1011.231,27.134,24.456,12.213,0.62,22.765,22.868,23.326,46.189
1638891559.9978504,2021-12-07 10:39:19.997798,-0.054,0.069,1.001,19.504,19.863,1011.231,27.275,24.379,12.173,3.174,23.017,23.135,23.479,46.189
1638891561.0255585,2021-12-07 10:39:21.025503,-0.014,0.027,1.039,19.510,18.912,1011.223,15.808,24.313,12.144,4.41,23.206,23.336,23.594,46.189
1638891562.0020702,2021-12-07 10:39:22.002028,-0.045,-0.023,1.049,19.510,18.912,1011.223,25.841,24.225,12.104,6.223,23.521,23.67,23.785,46.189
1638891563.0021448,2021-12-07 10:39:23.002100,-0.079,0.007,1.024,19.510,18.912,1011.223,26.601,24.247,12.116,4.658,23.332,23.469,23.67,46.189
1638891563.9993203,2021-12-07 10:39:23.999291,-0.085,0.017,1.023,19.510,18.912,1011.223,29.764,24.313,12.15,2.845,23.08,23.202,23.517,46.189
1638891564.9993584,2021-12-07 10:39:24.999324,-0.089,0.011,1.013,19.510,18.912,1011.223,30.667,24.401,12.184,0.95,22.765,22.868,23.326,46.189
1638891566.025096,2021-12-07 10:39:26.025052,-0.081,0.012,1.014,19.519,18.116,1011.217,17.474,24.423,12.195,0.785,22.639,22.734,23.249,46.189
1638891567.0034673,2021-12-07 10:39:27.003429,-0.088,0.010,1.020,19.519,18.116,1011.217,28.840,24.445,12.201,0.785,22.576,22.668,23.211,46.189
1638891568.0032089,2021-12-07 10:39:28.003177,-0.136,0.018,1.000,19.519,18.116,1011.217,29.909,24.445,12.207,0.95,22.513,22.601,23.172,46.189
