CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1633623310.2812223,2021-10-07 12:15:10.281181,-0.071,0.030,1.023,31.977,100.000,641.773,6.502,23.804,11.477,0.17,24.592,25.674,24.551,52.363
1633623311.2742784,2021-10-07 12:15:11.274231,-0.072,0.029,1.025,31.977,100.000,641.773,6.851,23.855,11.498,0.087,24.403,25.34,24.474,52.363
1633623312.2859368,2021-10-07 12:15:12.285893,-0.072,0.030,1.025,31.977,100.000,641.773,6.389,23.845,11.513,0.17,24.529,25.54,24.474,52.363
1633623313.1684568,2021-10-07 12:15:13.168413,-0.071,0.030,1.026,31.977,100.000,641.773,26.258,23.865,11.508,0.17,24.592,25.273,24.436,52.363
1633623314.275009,2021-10-07 12:15:14.274961,-0.073,0.032,1.020,31.977,100.000,641.773,6.970,23.855,11.503,0.087,24.592,25.607,24.436,52.363
1633623315.1698725,2021-10-07 12:15:15.169833,-0.069,0.032,1.022,21.133,41.695,1012.146,26.662,23.845,11.498,0.004,24.655,25.34,24.474,52.363
1633623316.2823792,2021-10-07 12:15:16.282334,-0.072,0.032,1.026,21.133,41.695,1012.146,6.700,23.845,11.498,0.087,24.529,25.54,24.474,52.363
1633623317.2835004,2021-10-07 12:15:17.283402,-0.070,0.033,1.024,21.133,41.695,1012.146,6.681,23.835,11.492,0.17,24.529,25.54,24.513,52.363
1633623318.2925744,2021-10-07 12:15:18.292533,-0.070,0.030,1.026,21.133,41.695,1012.146,6.339,23.773,11.487,0.17,24.655,25.674,24.551,52.363
1633623319.278865,2021-10-07 12:15:19.278820,-0.070,0.034,1.022,21.133,41.695,1012.146,6.976,23.814,11.487,0.17,24.655,25.406,24.513,52.363
1633623320.297956,2021-10-07 12:15:20.297903,-0.071,0.030,1.021,21.135,41.635,1012.141,6.184,23.794,11.477,0.17,24.592,25.607,24.551,52.363
1633623321.2952008,2021-10-07 12:15:21.295102,-0.070,0.030,1.027,21.135,41.635,1012.141,6.318,23.835,11.472,0.17,24.718,25.406,24.513,52.363
1633623322.2875185,2021-10-07 12:15:22.287473,-0.070,0.031,1.027,21.135,41.635,1012.141,6.668,23.855,11.477,0.17,24.529,25.406,24.436,52.363
1633623323.2788796,2021-10-07 12:15:23.278838,-0.070,0.030,1.022,21.135,41.635,1012.141,7.147,23.835,11.498,0.17,24.529,25.607,24.513,52.363
1633623324.2677963,2021-10-07 12:15:24.267758,-0.070,0.031,1.026,21.135,41.635,1012.141,7.811,23.835,11.508,0.17,24.466,25.273,24.513,52.363
1633623325.2924073,2021-10-07 12:15:25.292362,-0.067,0.029,1.020,21.140,41.563,1012.139,6.588,23.845,11.508,0.087,24.403,25.54,24.513,52.363
1633623326.2811735,2021-10-07 12:15:26.281137,-0.071,0.030,1.023,21.140,41.563,1012.139,7.156,23.814,11.477,0.17,24.718,25.674,24.551,52.363
1633623327.2852657,2021-10-07 12:15:27.285228,-0.068,0.029,1.023,21.140,41.563,1012.139,6.986,23.804,11.498,0.17,24.592,25.607,24.513,52.363
