CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1633622726.2745147,2021-10-07 12:05:26.274475,-0.062,0.031,1.020,31.977,100.000,641.773,15.514,23.865,11.539,0.004,24.529,25.807,24.513,52.363
1633622727.2699149,2021-10-07 12:05:27.269895,-0.063,0.025,1.021,31.977,100.000,641.773,17.008,23.865,11.544,-0.162,24.34,25.54,24.513,52.363
1633622728.2698867,2021-10-07 12:05:28.269863,-0.062,0.030,1.025,31.977,100.000,641.773,17.294,23.865,11.524,0.004,24.592,25.674,24.551,52.363
1633622729.2713754,2021-10-07 12:05:29.271346,-0.065,0.031,1.025,31.977,100.000,641.773,17.142,23.845,11.513,0.087,24.466,25.54,24.513,52.363
1633622730.2732172,2021-10-07 12:05:30.273184,-0.062,0.031,1.023,31.977,100.000,641.773,16.891,23.855,11.518,0.087,24.529,25.607,24.589,52.363
1633622731.2728972,2021-10-07 12:05:31.272862,-0.061,0.032,1.025,20.939,42.219,1012.281,17.247,23.865,11.534,0.004,24.403,25.807,24.551,52.363
1633622732.2742264,2021-10-07 12:05:32.274197,-0.065,0.029,1.027,20.939,42.219,1012.281,17.112,23.855,11.508,0.087,24.592,25.807,24.628,52.363
1633622733.2798302,2021-10-07 12:05:33.279792,-0.064,0.029,1.021,20.939,42.219,1012.281,15.868,23.814,11.492,0.17,24.718,25.941,24.704,52.363
1633622734.2809312,2021-10-07 12:05:34.280893,-0.064,0.031,1.021,20.939,42.219,1012.281,15.842,23.845,11.508,0.087,24.718,25.807,24.589,52.363
1633622735.2822738,2021-10-07 12:05:35.282239,-0.061,0.027,1.023,20.939,42.219,1012.281,15.785,23.865,11.524,0.004,24.529,25.674,24.551,52.363
1633622736.291022,2021-10-07 12:05:36.290985,-0.060,0.028,1.024,20.941,42.165,1012.273,14.072,23.824,11.498,0.17,24.592,25.874,24.513,52.363
1633622737.2798216,2021-10-07 12:05:37.279791,-0.063,0.028,1.025,20.941,42.165,1012.273,16.987,23.865,11.508,0.17,24.592,25.807,24.589,52.363
1633622738.2850883,2021-10-07 12:05:38.285043,-0.063,0.030,1.023,20.941,42.165,1012.273,15.890,23.865,11.513,0.087,24.403,25.807,24.513,52.363
1633622739.2874248,2021-10-07 12:05:39.287385,-0.066,0.029,1.021,20.941,42.165,1012.273,15.576,23.835,11.529,0.17,24.592,25.807,24.551,52.363
1633622740.275086,2021-10-07 12:05:40.275014,-0.062,0.031,1.025,20.941,42.165,1012.273,19.664,23.855,11.518,0.17,24.592,25.674,24.513,52.363
1633622741.288876,2021-10-07 12:05:41.288678,-0.064,0.030,1.025,20.946,42.074,1012.279,15.737,23.865,11.518,0.087,24.403,25.674,24.474,52.363
1633622742.2890153,2021-10-07 12:05:42.288955,-0.064,0.026,1.025,20.946,42.074,1012.279,15.963,23.855,11.529,0.087,24.34,25.54,24.551,52.363
1633622743.2912068,2021-10-07 12:05:43.291155,-0.063,0.028,1.026,20.946,42.074,1012.279,15.666,23.865,11.529,0.004,24.529,25.54,24.513,52.363
1633622744.2924724,2021-10-07 12:05:44.292424,-0.064,0.030,1.025,20.946,42.074,1012.279,15.607,23.865,11.518,-0.079,24.592,25.674,24.589,52.363
1633622745.3801713,2021-10-07 12:05:45.380130,-0.062,0.030,1.022,20.946,42.074,1012.279,6.637,23.814,11.498,0.17,24.655,25.74,24.628,52.363
1633622746.2803025,2021-10-07 12:05:46.280262,-0.061,0.028,1.024,20.953,42.027,1012.283,20.068,23.845,11.513,-0.079,24.592,25.74,24.551,52.363
1633622747.272249,2021-10-07 12:05:47.272207,-0.062,0.030,1.023,20.953,42.027,1012.283,24.661,23.875,11.529,0.17,24.466,25.674,24.551,52.363
1633622748.2692454,2021-10-07 12:05:48.269201,-0.065,0.028,1.028,20.953,42.027,1012.283,27.555,23.865,11.534,0.004,24.529,25.674,24.513,52.363
1633622749.3692753,2021-10-07 12:05:49.369252,-0.063,0.029,1.022,20.953,42.027,1012.283,7.401,23.835,11.492,0.17,24.592,25.941,24.628,52.363
1633622750.3730528,2021-10-07 12:05:50.372903,-0.062,0.030,1.022,20.953,42.027,1012.283,7.237,23.845,11.518,0.17,24.655,25.674,24.589,52.363
