CPU Time,Time,AccX(G),AccY(G),AccZ(G),Ambient(degC),Humidity(%),Pressure(hPa),Acquisition Frequency,V_bat_1,V_bat_2,I_bat,T_bat_1,T_bat_2,Ambient_Temp,SoC_value
1633565946.5627081,2021-10-06 20:19:06.562663,-0.065,0.019,1.026,31.977,100.000,641.773,7.239,23.814,11.482,0.17,26.923,29.214,26.428,52.363
1633565947.577174,2021-10-06 20:19:07.577134,-0.066,0.018,1.025,31.977,100.000,641.773,6.581,23.865,11.492,0.17,26.545,28.947,26.466,52.363
1633565948.5641625,2021-10-06 20:19:08.564118,-0.067,0.019,1.026,31.977,100.000,641.773,7.230,23.835,11.487,0.17,26.797,29.08,26.428,52.363
1633565949.5641348,2021-10-06 20:19:09.564115,-0.065,0.016,1.027,31.977,100.000,641.773,7.264,23.835,11.498,0.17,26.797,29.147,26.428,52.363
1633565950.5666378,2021-10-06 20:19:10.566568,-0.065,0.017,1.024,31.977,100.000,641.773,7.161,23.855,11.518,0.17,26.797,29.014,26.351,52.363
1633565951.5680566,2021-10-06 20:19:11.567998,-0.070,0.017,1.029,24.923,41.691,1011.604,7.127,23.865,11.508,0.17,26.671,28.746,26.389,52.363
1633565952.5726852,2021-10-06 20:19:12.572564,-0.067,0.020,1.024,24.923,41.691,1011.604,6.932,23.865,11.508,0.17,26.734,28.88,26.351,52.363
1633565953.5656528,2021-10-06 20:19:13.565545,-0.066,0.014,1.028,24.923,41.691,1011.604,7.315,23.865,11.498,0.087,26.671,28.88,26.351,52.363
1633565954.5689688,2021-10-06 20:19:14.568932,-0.068,0.018,1.026,24.923,41.691,1011.604,7.171,23.814,11.477,0.17,26.86,29.214,26.389,52.363
1633565955.5666926,2021-10-06 20:19:15.566652,-0.067,0.020,1.026,24.923,41.691,1011.604,7.330,23.845,11.487,0.17,26.734,29.014,26.389,52.363
1633565956.5790367,2021-10-06 20:19:16.578991,-0.068,0.019,1.028,24.924,41.618,1011.604,6.750,23.865,11.513,0.17,26.734,28.88,26.351,52.363
1633565957.5662055,2021-10-06 20:19:17.566175,-0.069,0.021,1.027,24.924,41.618,1011.604,7.429,23.835,11.492,0.17,26.86,29.08,26.466,52.363
1633565958.567428,2021-10-06 20:19:18.567395,-0.068,0.015,1.024,24.924,41.618,1011.604,7.393,23.865,11.498,0.17,26.734,28.88,26.389,52.363
1633565959.5676026,2021-10-06 20:19:19.567568,-0.072,0.013,1.023,24.924,41.618,1011.604,7.416,23.835,11.498,0.17,26.797,29.014,26.389,52.363
1633565960.5674765,2021-10-06 20:19:20.567442,-0.071,0.020,1.025,24.924,41.618,1011.604,7.455,23.835,11.492,0.17,26.734,29.147,26.351,52.363
1633565961.5688941,2021-10-06 20:19:21.568860,-0.073,0.018,1.027,24.928,41.546,1011.606,7.409,23.824,11.477,0.17,26.986,29.08,26.504,52.363
1633565962.5701582,2021-10-06 20:19:22.570119,-0.064,0.019,1.026,24.928,41.546,1011.606,7.372,23.865,11.508,0.17,26.734,28.947,26.351,52.363
1633565963.5752404,2021-10-06 20:19:23.575203,-0.069,0.019,1.023,24.928,41.546,1011.606,7.135,23.845,11.498,0.004,26.671,29.08,26.389,52.363
1633565964.571018,2021-10-06 20:19:24.570987,-0.064,0.019,1.024,24.928,41.546,1011.606,7.385,23.855,11.498,0.17,26.797,29.08,26.351,52.363
1633565965.565602,2021-10-06 20:19:25.565477,-0.067,0.020,1.024,24.928,41.546,1011.606,7.733,23.865,11.487,0.17,26.671,28.88,26.351,52.363
1633565966.571734,2021-10-06 20:19:26.571690,-0.064,0.020,1.015,24.933,41.516,1011.614,7.414,23.865,11.508,0.087,26.734,28.947,26.428,52.363
1633565967.5715475,2021-10-06 20:19:27.571516,-0.071,0.022,1.031,24.933,41.516,1011.614,7.468,23.855,11.498,0.087,26.608,28.746,26.351,52.363
1633565968.5642357,2021-10-06 20:19:28.564186,-0.064,0.022,1.023,24.933,41.516,1011.614,7.939,23.845,11.498,0.17,26.797,29.014,26.428,52.363
1633565969.560222,2021-10-06 20:19:29.560179,-0.064,0.019,1.025,24.933,41.516,1011.614,9.996,23.865,11.498,0.17,26.608,29.014,26.389,52.363
1633565970.5770295,2021-10-06 20:19:30.576956,-0.071,0.019,1.023,24.933,41.516,1011.614,8.627,23.865,11.498,0.17,26.734,28.947,26.389,52.363
1633565971.5721924,2021-10-06 20:19:31.572173,-0.064,0.020,1.026,24.938,41.474,1011.613,9.083,23.855,11.518,0.17,26.671,28.88,26.351,52.363
1633565972.5766747,2021-10-06 20:19:32.576631,-0.068,0.016,1.027,24.938,41.474,1011.613,8.791,23.845,11.513,0.17,26.797,29.014,26.428,52.363
1633565973.576527,2021-10-06 20:19:33.576488,-0.062,0.019,1.024,24.938,41.474,1011.613,8.859,23.814,11.477,0.17,27.049,29.014,26.389,52.363
1633565974.5640903,2021-10-06 20:19:34.563968,-0.068,0.020,1.027,24.938,41.474,1011.613,10.036,23.855,11.487,0.254,26.797,28.88,26.351,52.363
1633565975.5760903,2021-10-06 20:19:35.576065,-0.067,0.018,1.027,24.938,41.474,1011.613,9.012,23.835,11.492,0.17,26.671,29.014,26.389,52.363
1633565976.592371,2021-10-06 20:19:36.592325,-0.065,0.018,1.024,24.942,41.444,1011.613,7.905,23.865,11.492,0.17,26.608,28.947,26.351,52.363
1633565977.5580769,2021-10-06 20:19:37.558033,-0.069,0.018,1.024,24.942,41.444,1011.613,10.939,23.845,11.487,0.17,26.671,29.147,26.466,52.363
1633565978.5602489,2021-10-06 20:19:38.560212,-0.068,0.017,1.025,24.942,41.444,1011.613,10.782,23.835,11.492,0.17,26.734,29.08,26.389,52.363
1633565979.5567906,2021-10-06 20:19:39.556729,-0.064,0.018,1.028,24.942,41.444,1011.613,11.306,23.855,11.487,0.087,26.608,29.014,26.389,52.363
1633565980.5595124,2021-10-06 20:19:40.559472,-0.079,0.021,1.015,24.942,41.444,1011.613,11.070,23.855,11.508,0.17,26.671,28.88,26.351,52.363
