CPU Time,Time,GPS time,Latitude,Lat. Direction,Longitude,Long. Direction,Num. Satellites,Speed(km/h)
1638891559.607305,2021-12-07 10:39:19.607276,15:39:15.0,35.7733275,N,-78.67627983333334,W,08,0.438
1638891559.6107073,2021-12-07 10:39:19.610683,15:39:16.0,35.773382166666664,N,-78.676337,W,08,0.149
1638891559.6133404,2021-12-07 10:39:19.613318,15:39:17.0,35.77342566666667,N,-78.67638433333333,W,08,0.573
1638891559.6161,2021-12-07 10:39:19.616076,15:39:18.0,35.773453333333336,N,-78.67640816666666,W,08,0.255
1638891559.6186273,2021-12-07 10:39:19.618605,15:39:19.0,35.77348666666666,N,-78.67645066666667,W,08,0.141
1638891564.620803,2021-12-07 10:39:24.620791,15:39:20.0,35.7734965,N,-78.67645116666667,W,08,0.694
1638891564.6216965,2021-12-07 10:39:24.621691,15:39:21.0,35.773507333333335,N,-78.6764615,W,08,0.823
1638891564.6225665,2021-12-07 10:39:24.622561,15:39:22.0,35.77351616666667,N,-78.6764485,W,08,0.607
1638891564.6234226,2021-12-07 10:39:24.623418,15:39:23.0,35.773545166666665,N,-78.67648816666667,W,08,0.255
1638891564.6242816,2021-12-07 10:39:24.624277,15:39:24.0,35.773566,N,-78.67651,W,08,0.164
1638891569.6263568,2021-12-07 10:39:29.626340,15:39:25.0,35.77358366666667,N,-78.676529,W,08,0.412
1638891569.6278713,2021-12-07 10:39:29.627862,15:39:26.0,35.77360066666667,N,-78.67654933333333,W,08,0.250
1638891569.629405,2021-12-07 10:39:29.629397,15:39:27.0,35.773613,N,-78.67656533333333,W,08,0.130
1638891569.6308413,2021-12-07 10:39:29.630833,15:39:28.0,35.7736255,N,-78.67658283333333,W,08,0.183
1638891569.63231,2021-12-07 10:39:29.632302,15:39:29.0,35.773644833333336,N,-78.67659816666666,W,08,2.352
1638891574.6373467,2021-12-07 10:39:34.637322,15:39:30.0,35.77366166666667,N,-78.67660683333334,W,08,2.798
1638891574.6406307,2021-12-07 10:39:34.640596,15:39:31.0,35.77367316666667,N,-78.6766135,W,08,3.794
1638891574.64315,2021-12-07 10:39:34.643127,15:39:32.0,35.77369,N,-78.67661366666667,W,08,4.557
1638891574.6457412,2021-12-07 10:39:34.645718,15:39:33.0,35.77370833333333,N,-78.6766295,W,08,2.710
1638891574.6483424,2021-12-07 10:39:34.648326,15:39:34.0,35.77374366666667,N,-78.67668366666666,W,08,0.650
