CPU Time,Time,GPS time,Latitude,Lat. Direction,Longitude,Long. Direction,Num. Satellites,Speed(km/h)
1638891281.4604375,2021-12-07 10:34:41.460418,15:34:39.0,35.773978666666665,N,-78.67691933333333,W,08,0.093
1638891281.463503,2021-12-07 10:34:41.463481,15:34:40.0,35.773977333333335,N,-78.67692366666667,W,08,1.350
1638891281.4670966,2021-12-07 10:34:41.467074,15:34:41.0,35.7739645,N,-78.676914,W,08,2.420
1638891286.4703367,2021-12-07 10:34:46.470294,15:34:42.0,35.7739615,N,-78.67691783333333,W,08,2.299
1638891286.47277,2021-12-07 10:34:46.472749,15:34:43.0,35.773959833333336,N,-78.67691666666667,W,08,1.372
1638891286.4750736,2021-12-07 10:34:46.475054,15:34:44.0,35.77395883333333,N,-78.67691383333333,W,08,0.404
1638891286.4772928,2021-12-07 10:34:46.477271,15:34:45.0,35.773964,N,-78.67690566666667,W,08,0.147
1638891286.4812589,2021-12-07 10:34:46.481234,15:34:46.0,35.77396433333333,N,-78.67690933333333,W,08,0.026
1638891291.4842527,2021-12-07 10:34:51.484230,15:34:47.0,35.773965,N,-78.67691583333334,W,08,0.175
1638891291.4869676,2021-12-07 10:34:51.486942,15:34:48.0,35.773967999999996,N,-78.676923,W,08,0.076
1638891291.489532,2021-12-07 10:34:51.489504,15:34:49.0,35.7739655,N,-78.6769145,W,08,0.236
1638891291.491944,2021-12-07 10:34:51.491926,15:34:50.0,35.773967,N,-78.67691216666667,W,08,0.262
1638891291.4941883,2021-12-07 10:34:51.494169,15:34:51.0,35.773971,N,-78.67691166666667,W,08,0.214
1638891296.497831,2021-12-07 10:34:56.497807,15:34:52.0,35.77397366666667,N,-78.67690983333334,W,08,0.222
1638891296.5008783,2021-12-07 10:34:56.500842,15:34:53.0,35.773975166666666,N,-78.67691316666667,W,08,0.145
1638891296.5041072,2021-12-07 10:34:56.504076,15:34:54.0,35.773974,N,-78.67691333333333,W,08,0.209
1638891296.5066524,2021-12-07 10:34:56.506632,15:34:55.0,35.773974,N,-78.67691466666666,W,08,0.102
1638891296.5097234,2021-12-07 10:34:56.509696,15:34:56.0,35.773971833333334,N,-78.676909,W,08,0.200
1638891301.5126324,2021-12-07 10:35:01.512611,15:34:57.0,35.7739725,N,-78.67690916666666,W,08,0.080
1638891301.514421,2021-12-07 10:35:01.514404,15:34:58.0,35.773971833333334,N,-78.6769085,W,08,0.051
1638891301.5161457,2021-12-07 10:35:01.516129,15:34:59.0,35.7739705,N,-78.67690466666667,W,08,0.112
1638891301.5179188,2021-12-07 10:35:01.517902,15:35:00.0,35.773970166666665,N,-78.67690266666666,W,08,0.110
1638891301.519709,2021-12-07 10:35:01.519689,15:35:01.0,35.773970166666665,N,-78.6769005,W,08,0.164
1638891306.5229056,2021-12-07 10:35:06.522882,15:35:02.0,35.77396983333333,N,-78.676898,W,08,0.017
1638891306.5260913,2021-12-07 10:35:06.526068,15:35:03.0,35.7739695,N,-78.6768955,W,08,0.059
1638891306.5292103,2021-12-07 10:35:06.529187,15:35:04.0,35.7739695,N,-78.67689333333334,W,07,0.050
1638891306.5323157,2021-12-07 10:35:06.532294,15:35:05.0,35.773971,N,-78.6768935,W,07,0.077
1638891306.5354173,2021-12-07 10:35:06.535395,15:35:06.0,35.77397283333333,N,-78.67689333333334,W,07,0.128
1638891311.5386896,2021-12-07 10:35:11.538662,15:35:07.0,35.773975666666665,N,-78.67689683333333,W,07,0.100
1638891311.5411682,2021-12-07 10:35:11.541146,15:35:08.0,35.77397633333333,N,-78.67689883333334,W,07,0.135
1638891311.543677,2021-12-07 10:35:11.543654,15:35:09.0,35.77397666666667,N,-78.676899,W,07,0.091
1638891311.546031,2021-12-07 10:35:11.546013,15:35:10.0,35.773978666666665,N,-78.6769015,W,07,0.277
1638891311.5482726,2021-12-07 10:35:11.548256,15:35:11.0,35.77398766666666,N,-78.67691566666667,W,08,1.232
